Date,SUPERT_14_3.0,SUPERTd_14_3.0,SUPERTl_14_3.0,SUPERTs_14_3.0
2023-06-27 14:45:00,7.463895951626236,-1,,7.463895951626236
2023-06-27 14:50:00,7.463895951626236,-1,,7.463895951626236
2023-06-27 14:55:00,7.452678141963437,-1,,7.452678141963437
2023-06-27 15:00:00,7.452678141963437,-1,,7.452678141963437
2023-06-27 15:05:00,7.43574543873378,-1,,7.43574543873378
2023-06-27 15:10:00,7.410477907395654,-1,,7.410477907395654
2023-06-27 15:15:00,7.410477907395654,-1,,7.410477907395654
2023-06-27 15:20:00,7.410477907395654,-1,,7.410477907395654
2023-06-27 15:25:00,7.410477907395654,-1,,7.410477907395654
2023-06-27 15:30:00,7.410477907395654,-1,,7.410477907395654
2023-06-27 15:35:00,7.410477907395654,-1,,7.410477907395654
2023-06-27 15:40:00,7.388481496431985,-1,,7.388481496431985
2023-06-27 15:45:00,7.388481496431985,-1,,7.388481496431985
2023-06-27 15:50:00,7.388481496431985,-1,,7.388481496431985
2023-06-27 15:55:00,7.388481496431985,-1,,7.388481496431985
2023-06-27 16:00:00,7.388481496431985,-1,,7.388481496431985
2023-06-27 16:05:00,7.388481496431985,-1,,7.388481496431985
2023-06-27 16:10:00,7.388481496431985,-1,,7.388481496431985
2023-06-27 16:15:00,7.388481496431985,-1,,7.388481496431985
2023-06-27 16:20:00,7.388481496431985,-1,,7.388481496431985
2023-06-27 16:25:00,7.388481496431985,-1,,7.388481496431985
2023-06-27 16:30:00,7.388481496431985,-1,,7.388481496431985
2023-06-27 16:35:00,7.388481496431985,-1,,7.388481496431985
2023-06-27 16:40:00,7.281567426180707,1,7.281567426180707,
2023-06-27 16:45:00,7.299598324310656,1,7.299598324310656,
2023-06-27 16:50:00,7.311484158288467,1,7.311484158288467,
2023-06-27 16:55:00,7.329306718410719,1,7.329306718410719,
2023-06-27 17:00:00,7.331391952809954,1,7.331391952809954,
2023-06-27 17:05:00,7.331391952809954,1,7.331391952809954,
2023-06-27 17:10:00,7.331391952809954,1,7.331391952809954,
2023-06-27 17:15:00,7.331391952809954,1,7.331391952809954,
2023-06-27 17:20:00,7.331391952809954,1,7.331391952809954,
2023-06-27 17:25:00,7.331391952809954,1,7.331391952809954,
2023-06-27 17:30:00,7.331391952809954,1,7.331391952809954,
2023-06-27 17:35:00,7.331391952809954,1,7.331391952809954,
2023-06-27 17:40:00,7.331391952809954,1,7.331391952809954,
2023-06-27 17:45:00,7.331391952809954,1,7.331391952809954,
2023-06-27 17:50:00,7.331391952809954,1,7.331391952809954,
2023-06-27 17:55:00,7.331391952809954,1,7.331391952809954,
2023-06-27 18:00:00,7.331391952809954,1,7.331391952809954,
2023-06-27 18:05:00,7.331804812902553,1,7.331804812902553,
2023-06-27 18:10:00,7.3319258976952275,1,7.3319258976952275,
2023-06-27 18:15:00,7.3319258976952275,1,7.3319258976952275,
2023-06-27 18:20:00,7.3319258976952275,1,7.3319258976952275,
2023-06-27 18:25:00,7.337807834269831,1,7.337807834269831,
2023-06-27 18:30:00,7.345178703250557,1,7.345178703250557,
2023-06-27 18:35:00,7.354737367304089,1,7.354737367304089,
2023-06-27 18:40:00,7.365113269639511,1,7.365113269639511,
2023-06-27 18:45:00,7.372855178950974,1,7.372855178950974,
2023-06-27 18:50:00,7.372855178950974,1,7.372855178950974,
2023-06-27 18:55:00,7.372855178950974,1,7.372855178950974,
2023-06-27 19:00:00,7.372855178950974,1,7.372855178950974,
2023-06-27 19:05:00,7.372855178950974,1,7.372855178950974,
2023-06-27 19:10:00,7.372855178950974,1,7.372855178950974,
2023-06-27 19:15:00,7.372855178950974,1,7.372855178950974,
2023-06-27 19:20:00,7.372855178950974,1,7.372855178950974,
2023-06-27 19:25:00,7.372855178950974,1,7.372855178950974,
2023-06-27 19:30:00,7.372855178950974,1,7.372855178950974,
2023-06-27 19:35:00,7.372855178950974,1,7.372855178950974,
2023-06-27 19:40:00,7.372855178950974,1,7.372855178950974,
2023-06-27 19:45:00,7.372855178950974,1,7.372855178950974,
2023-06-27 19:50:00,7.372855178950974,1,7.372855178950974,
2023-06-27 19:55:00,7.372855178950974,1,7.372855178950974,
2023-06-27 20:00:00,7.372855178950974,1,7.372855178950974,
2023-06-27 20:05:00,7.372855178950974,1,7.372855178950974,
2023-06-27 20:10:00,7.385601272972762,1,7.385601272972762,
2023-06-27 20:15:00,7.385601272972762,1,7.385601272972762,
2023-06-27 20:20:00,7.385601272972762,1,7.385601272972762,
2023-06-27 20:25:00,7.385601272972762,1,7.385601272972762,
2023-06-27 20:30:00,7.385601272972762,1,7.385601272972762,
2023-06-27 20:35:00,7.385601272972762,1,7.385601272972762,
2023-06-27 20:40:00,7.385601272972762,1,7.385601272972762,
2023-06-27 20:45:00,7.385601272972762,1,7.385601272972762,
2023-06-27 20:50:00,7.385601272972762,1,7.385601272972762,
2023-06-27 20:55:00,7.385601272972762,1,7.385601272972762,
2023-06-27 21:00:00,7.385601272972762,1,7.385601272972762,
2023-06-27 21:05:00,7.385601272972762,1,7.385601272972762,
2023-06-27 21:10:00,7.385601272972762,1,7.385601272972762,
2023-06-27 21:15:00,7.385601272972762,1,7.385601272972762,
2023-06-27 21:20:00,7.385601272972762,1,7.385601272972762,
